Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,69.93,69.98,68.71,69.0,695547.0,0.0,1.0,69.93,69.98,68.71,69.0,695547.0
2018-03-26,70.02,70.17,68.57,69.59,1034786.0,0.0,1.0,70.02,70.17,68.57,69.59,1034786.0
2018-03-23,69.48,70.0,67.49,67.96,1301519.0,0.0,1.0,69.48,70.0,67.49,67.96,1301519.0
2018-03-22,69.58,69.9,68.07,68.18,1570444.0,0.0,1.0,69.58,69.9,68.07,68.18,1570444.0
2018-03-21,71.64,71.87,69.82,70.09,1368364.0,0.0,1.0,71.64,71.87,69.82,70.09,1368364.0
2018-03-20,73.18,74.285,70.825,71.82,2016061.0,0.0,1.0,73.18,74.285,70.825,71.82,2016061.0
2018-03-19,74.16,74.16,71.99,72.79,1329712.0,0.0,1.0,74.16,74.16,71.99,72.79,1329712.0
2018-03-16,72.21,76.99,71.91,74.73,3780482.0,0.0,1.0,72.21,76.99,71.91,74.73,3780482.0
2018-03-15,71.33,72.4,70.48,72.22,759397.0,0.0,1.0,71.33,72.4,70.48,72.22,759397.0
2018-03-14,72.05,72.05,70.99,71.17,543097.0,0.0,1.0,72.05,72.05,70.99,71.17,543097.0
2018-03-13,73.32,73.32,71.37,71.68,864913.0,0.0,1.0,73.32,73.32,71.37,71.68,864913.0
2018-03-12,72.84,73.56,72.63,72.72,658969.0,0.0,1.0,72.84,73.56,72.63,72.72,658969.0
2018-03-09,72.58,73.22,71.83,72.62,720735.0,0.0,1.0,72.58,73.22,71.83,72.62,720735.0
2018-03-08,72.61,72.61,70.94,72.08,553545.0,0.0,1.0,72.61,72.61,70.94,72.08,553545.0
2018-03-07,71.94,73.59,71.85,72.27,841765.0,0.0,1.0,71.94,73.59,71.85,72.27,841765.0
2018-03-06,72.51,72.84,71.56,72.2,1902297.0,0.0,1.0,72.51,72.84,71.56,72.2,1902297.0
2018-03-05,69.52,72.51,69.52,72.17,693937.0,0.0,1.0,69.52,72.51,69.52,72.17,693937.0
2018-03-02,69.53,70.14,68.98,69.85,590644.0,0.0,1.0,69.53,70.14,68.98,69.85,590644.0
2018-03-01,70.78,71.11,69.52,70.1,662461.0,0.0,1.0,70.78,71.11,69.52,70.1,662461.0
2018-02-28,72.2,72.34,70.82,70.82,689727.0,0.0,1.0,72.2,72.34,70.82,70.82,689727.0
2018-02-27,71.44,72.77,71.26,72.32,682094.0,0.0,1.0,71.44,72.77,71.26,72.32,682094.0
2018-02-26,71.64,71.64,70.53,71.46,510747.0,0.0,1.0,71.64,71.64,70.53,71.46,510747.0
2018-02-23,70.52,71.59,70.35,71.42,567476.0,0.0,1.0,70.52,71.59,70.35,71.42,567476.0
2018-02-22,70.68,71.24,70.04,70.35,667374.0,0.0,1.0,70.68,71.24,70.04,70.35,667374.0
2018-02-21,70.96,71.74,70.65,70.66,593897.0,0.0,1.0,70.96,71.74,70.65,70.66,593897.0
2018-02-20,71.93,72.5,70.78,70.98,858609.0,0.0,1.0,71.93,72.5,70.78,70.98,858609.0
2018-02-16,72.81,73.51,72.02,72.24,1279430.0,0.0,1.0,72.81,73.51,72.02,72.24,1279430.0
2018-02-15,72.32,73.62,71.31,73.14,1659064.0,0.0,1.0,72.32,73.62,71.31,73.14,1659064.0
2018-02-14,69.99,72.35,69.99,71.78,1746607.0,0.0,1.0,69.99,72.35,69.99,71.78,1746607.0
2018-02-13,70.13,70.54,68.66,70.41,1205359.0,0.0,1.0,70.13,70.54,68.66,70.41,1205359.0
2018-02-12,70.0,70.8,69.08,70.24,878824.0,0.0,1.0,70.0,70.8,69.08,70.24,878824.0
2018-02-09,71.0,71.77,67.78,69.77,1964997.0,0.0,1.0,71.0,71.77,67.78,69.77,1964997.0
2018-02-08,72.84,73.27,70.44,70.46,1457132.0,0.0,1.0,72.84,73.27,70.44,70.46,1457132.0
2018-02-07,70.5,74.35,70.34,72.66,3637113.0,0.0,1.0,70.5,74.35,70.34,72.66,3637113.0
2018-02-06,71.97,74.31,70.54,73.73,3932565.0,0.0,1.0,71.97,74.31,70.54,73.73,3932565.0
2018-02-05,73.54,77.16,72.35,72.74,2574740.0,0.0,1.0,73.54,77.16,72.35,72.74,2574740.0
2018-02-02,70.04,74.84,68.71,73.87,3870838.0,0.0,1.0,70.04,74.84,68.71,73.87,3870838.0
2018-02-01,72.56,73.16,70.05,70.59,1467494.0,0.0,1.0,72.56,73.16,70.05,70.59,1467494.0
