Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,203.5,207.61,200.095,201.73,852823.0,0.0,1.0,203.5,207.61,200.095,201.73,852823.0
2018-03-26,206.19,211.6699,206.04,209.99,590650.0,0.0,1.0,206.19,211.6699,206.04,209.99,590650.0
2018-03-23,207.52,209.38,203.655,203.85,462653.0,0.0,1.0,207.52,209.38,203.655,203.85,462653.0
2018-03-22,212.97,214.67,206.37,206.52,437758.0,0.0,1.0,212.97,214.67,206.37,206.52,437758.0
2018-03-21,215.36,217.36,213.835,214.47,261286.0,0.0,1.0,215.36,217.36,213.835,214.47,261286.0
2018-03-20,211.88,216.47,211.33,215.63,207640.0,0.0,1.0,211.88,216.47,211.33,215.63,207640.0
2018-03-19,213.63,214.76,210.32,211.65,285629.0,0.0,1.0,213.63,214.76,210.32,211.65,285629.0
2018-03-16,213.11,215.61,212.89,214.58,393756.0,0.0,1.0,213.11,215.61,212.89,214.58,393756.0
2018-03-15,212.08,213.73,211.68,212.69,218449.0,0.0,1.0,212.08,213.73,211.68,212.69,218449.0
2018-03-14,213.02,213.02,210.19,211.31,187563.0,0.0,1.0,213.02,213.02,210.19,211.31,187563.0
2018-03-13,213.88,214.88,209.44,212.44,166177.0,0.0,1.0,213.88,214.88,209.44,212.44,166177.0
2018-03-12,213.35,214.14,212.04,213.32,148645.0,0.0,1.0,213.35,214.14,212.04,213.32,148645.0
2018-03-09,209.06,213.69,207.44,213.61,180999.0,0.0,1.0,209.06,213.69,207.44,213.61,180999.0
2018-03-08,208.34,209.08,206.2601,207.95,201135.0,0.0,1.0,208.34,209.08,206.2601,207.95,201135.0
2018-03-07,208.39,210.82,203.43,208.04,277815.0,0.0,1.0,208.39,210.82,203.43,208.04,277815.0
2018-03-06,209.25,210.57,206.62,210.47,321616.0,0.0,1.0,209.25,210.57,206.62,210.47,321616.0
2018-03-05,205.5,210.34,204.865,208.36,231907.0,0.0,1.0,205.5,210.34,204.865,208.36,231907.0
2018-03-02,202.01,206.96,200.94,206.59,237845.0,0.0,1.0,202.01,206.96,200.94,206.59,237845.0
2018-03-01,203.83,206.199,201.865,203.1,244876.0,0.0,1.0,203.83,206.199,201.865,203.1,244876.0
2018-02-28,204.88,208.0,203.18,203.18,275695.0,0.0,1.0,204.88,208.0,203.18,203.18,275695.0
2018-02-27,205.92,206.655,203.26,204.22,151734.0,0.0,1.0,205.92,206.655,203.26,204.22,151734.0
2018-02-26,205.63,207.58,204.56,206.41,123661.0,0.0,1.0,205.63,207.58,204.56,206.41,123661.0
2018-02-23,201.97,205.29,201.97,205.23,140467.0,0.0,1.0,201.97,205.29,201.97,205.23,140467.0
2018-02-22,201.83,205.06,200.7,201.33,199392.0,0.0,1.0,201.83,205.06,200.7,201.33,199392.0
2018-02-21,201.19,204.78,201.17,201.28,156154.0,0.0,1.0,201.19,204.78,201.17,201.28,156154.0
2018-02-20,200.96,202.58,199.73,200.71,193069.0,0.0,1.0,200.96,202.58,199.73,200.71,193069.0
2018-02-16,201.02,203.15,200.21,202.18,300995.0,0.0,1.0,201.02,203.15,200.21,202.18,300995.0
2018-02-15,201.3,202.51,197.79,201.81,232763.0,0.0,1.0,201.3,202.51,197.79,201.81,232763.0
2018-02-14,194.35,201.37,194.35,200.51,303538.0,0.0,1.0,194.35,201.37,194.35,200.51,303538.0
2018-02-13,192.18,196.1,191.47,195.59,222627.0,0.0,1.0,192.18,196.1,191.47,195.59,222627.0
2018-02-12,191.0,195.15,190.84,192.87,335928.0,0.0,1.0,191.0,195.15,190.84,192.87,335928.0
2018-02-09,189.12,191.28,185.03,189.8,386772.0,0.0,1.0,189.12,191.28,185.03,189.8,386772.0
2018-02-08,193.12,195.5,187.985,187.99,351074.0,0.0,1.0,193.12,195.5,187.985,187.99,351074.0
2018-02-07,191.63,195.46,191.37,192.13,247041.0,0.0,1.0,191.63,195.46,191.37,192.13,247041.0
2018-02-06,189.26,193.64,186.29,191.99,464618.0,0.0,1.0,189.26,193.64,186.29,191.99,464618.0
2018-02-05,197.15,200.025,192.11,192.15,301878.0,0.0,1.0,197.15,200.025,192.11,192.15,301878.0
2018-02-02,203.04,203.04,198.8,199.33,206060.0,0.0,1.0,203.04,203.04,198.8,199.33,206060.0
2018-02-01,200.73,204.35,199.73,204.3,209813.0,0.0,1.0,200.73,204.35,199.73,204.3,209813.0
2018-01-31,201.62,202.7,200.48,200.69,272075.0,0.0,1.0,201.62,202.7,200.48,200.69,272075.0
2018-01-30,206.78,207.84,200.64,200.72,480119.0,0.0,1.0,206.78,207.84,200.64,200.72,480119.0
